"Function / Call Stack","Function (Full)","Effective Time by Utilization","Imbalance or Serial Spinning (OpenMP)","Lock Contention (OpenMP)","Other","Creation (OpenMP)","Scheduling (OpenMP)","Reduction (OpenMP)","Atomics (OpenMP)","Other","Instructions Retired","CPI Rate","CPU Frequency Ratio","Module","Source File","Start Address"
"func@0x1002e36f","func@0x1002e36f","9.92663","0","0","0","0","0","0","0","0","372580000000","1.3217","1.37246","libiomp5md.dll","","0x1002e36f"
"FORMGS","FORMGS","5.71141","0","0","0","0","0","0","0","0","485940000000","0.564473","1.32872","dd3imp_therm.exe","formgs.for","0x58c220"
"ELSRI1","ELSRI1","5.24385","0","0","0","0","0","0","0","0","404040000000","0.615187","1.31139","dd3imp_therm.exe","elsri1.for","0x58c660"
"Wow64SystemServiceCall","Wow64SystemServiceCall","3.53906","0","0","0","0","0","0","0","0","72800000000","2.11429","1.20325","ntdll.dll","","0x4b2fd4d0"
"DERPUV","DERPUV","2.81974","0","0","0","0","0","0","0","0","176800000000","0.752941","1.30612","dd3imp_therm.exe","derpuv.for","0x64f500"
"func@0x6b101d31","func@0x6b101d31","2.65429","0","0","0","0","0","0","0","0","16900000000","7.32308","1.28997","wow64cpu.dll","","0x6b101d31"
"PROJVE","PROJVE","2.07164","0","0","0","0","0","0","0","0","126880000000","0.64959","1.10069","dd3imp_therm.exe","projve.for","0x6246d0"
"[MKL BLAS]@dgemm_kernel_0","mkl_blas_avx2_dgemm_kernel_0","2.03568","0","0","0","0","0","0","0","0","110760000000","0.659624","0.992933","dd3imp_therm.exe","","0x2af2240"
"[Outside any known module]","[Outside any known module]","1.30197","0","0","0","0","0","0","0","0","27820000000","1.98131","1.17127","","","0"
"[MKL PARDISO]@blklcore_omp_mic_real","mkl_pds_blklcore_omp_mic_real","1.12933","0","0","0","0","0","0","0","0","102440000000","0.606599","1.52229","dd3imp_therm.exe","","0xb7c750"
"LUDCMP","LUDCMP","1.07179","0","0","0","0","0","0","0","0","63960000000","0.796748","1.31544","dd3imp_therm.exe","ludcmp.for","0x42ed40"
"[MKL PARDISO]@upd_real_block","mkl_pds_upd_real_block","1.07179","0","0","0","0","0","0","0","0","65000000000","0.736","1.2349","dd3imp_therm.exe","","0xcc3fe0"
"[MKL BLAS]@xdgemv","mkl_blas_avx2_xdgemv","1.07179","0","0","0","0","0","0","0","0","7540000000","6.34483","1.2349","dd3imp_therm.exe","","0xd6f790"
